osm_id,timestamp,name,type
"729604793",2010-05-11T09:37:45Z,,fuel
"729604795",2010-05-11T09:37:45Z,,fuel
"729604796",2010-05-11T09:37:45Z,,fuel
"729604798",2010-05-11T09:37:45Z,,fuel
"729604801",2010-05-11T09:37:45Z,,fuel
"729604806",2012-05-18T08:34:00Z,,fuel
"729604809",2010-05-11T09:37:46Z,,fuel
"729604810",2010-05-11T09:37:46Z,,fuel
"729604811",2010-05-11T09:37:46Z,,fuel
"729604812",2010-05-11T09:37:46Z,,fuel
"729604813",2010-05-11T09:37:46Z,,fuel
"729604815",2010-05-11T09:37:46Z,,fuel
"729604816",2010-05-16T03:51:35Z,,fuel
"729604817",2013-09-30T06:39:15Z,,fuel
"729604818",2010-05-11T09:37:47Z,,fuel
"729604822",2010-05-11T09:37:47Z,,fuel
"729604823",2010-05-11T09:37:47Z,,fuel
"729604824",2010-05-11T09:37:47Z,,fuel
"729604827",2014-02-25T08:18:13Z,Tổng An Khương,fuel
"729604828",2013-08-30T03:06:28Z,,fuel
"729604829",2010-05-11T09:37:47Z,,fuel
"729604830",2010-05-11T09:37:47Z,,fuel
"729604831",2010-05-11T09:37:47Z,,fuel
"729604835",2010-05-11T09:37:47Z,,fuel
"729604839",2013-08-11T07:54:21Z,,fuel
"729604840",2010-05-11T09:37:48Z,,fuel
"729604841",2010-05-11T09:37:48Z,,fuel
"729604844",2013-04-11T13:35:49Z,,fuel
"729604846",2010-05-11T09:37:48Z,,fuel
"729604849",2011-11-30T05:04:36Z,,fuel
"729604850",2010-05-11T09:37:48Z,,fuel
"729604852",2010-05-11T09:37:48Z,,fuel
"729604853",2010-05-11T09:37:49Z,,fuel
"729604855",2013-08-30T03:12:59Z,,fuel
"729604856",2012-05-17T18:19:18Z,,fuel
"729604858",2010-05-11T09:37:49Z,,fuel
"729604859",2011-11-10T15:17:22Z,,fuel
"729604860",2010-05-11T09:37:49Z,,fuel
"729604861",2010-05-11T09:37:49Z,,fuel
"729604864",2010-05-11T09:37:49Z,,fuel
"729604865",2010-05-11T09:37:49Z,,fuel
"729604866",2010-05-11T09:37:49Z,,fuel
"729604867",2010-05-11T09:37:49Z,,fuel
"729604869",2010-05-11T09:37:49Z,,fuel
"729604871",2010-06-02T15:37:53Z,,fuel
"729604875",2010-05-11T09:37:50Z,,fuel
"729604876",2013-12-28T18:13:30Z,Total,fuel
"729604877",2010-05-11T09:37:50Z,,fuel
"729604879",2010-06-03T05:20:39Z,,fuel
"729604880",2010-05-11T09:37:50Z,,fuel
"729604881",2010-05-11T09:37:50Z,,fuel
"729604882",2010-05-11T09:37:50Z,,fuel
"729604883",2013-02-08T18:01:38Z,,fuel
"729604885",2010-05-11T09:37:50Z,,fuel
"729604886",2014-06-02T07:24:04Z,Thanh Phúc,fuel
"729604887",2014-02-26T15:55:28Z,CHXD số 4,fuel
"729604889",2010-05-11T09:37:50Z,,fuel
"729604890",2013-12-28T18:13:30Z,Petrolimex,fuel
"729604892",2013-10-18T04:54:52Z,,fuel
"729604893",2010-05-11T09:37:50Z,,fuel
"729604894",2010-06-03T03:29:13Z,,fuel
"729604895",2010-05-11T09:37:51Z,,fuel
"729604896",2010-05-11T09:37:51Z,,fuel
"729604898",2011-11-10T15:17:22Z,,fuel
"729604899",2010-05-11T09:37:51Z,,fuel
"729604901",2012-12-12T04:33:47Z,,fuel
"729604902",2014-07-01T02:26:16Z,,fuel
"729604904",2013-12-28T18:13:32Z,,fuel
"729604905",2010-05-11T09:37:52Z,,fuel
"729604907",2010-05-11T09:37:52Z,,fuel
"729604908",2010-05-11T09:37:52Z,,fuel
"729604909",2010-05-11T09:37:52Z,,fuel
"729604911",2011-12-25T13:04:59Z,BP,fuel
"729604912",2010-05-11T09:37:52Z,,fuel
"729604914",2010-05-11T09:37:52Z,,fuel
"729604915",2010-05-11T09:37:52Z,,fuel
"729604916",2012-10-28T18:07:13Z,CHXD số 39,fuel
"729604917",2010-05-11T09:37:52Z,,fuel
"729604918",2010-05-11T09:37:52Z,,fuel
"729604920",2010-09-25T11:27:04Z,,fuel
"729604921",2010-05-16T03:51:34Z,,fuel
"729604922",2010-05-11T09:37:52Z,,fuel
"729604923",2010-05-11T09:37:52Z,,fuel
"729604924",2010-05-11T09:37:52Z,,fuel
"729604925",2012-02-26T17:11:53Z,,fuel
"729604929",2013-02-22T16:46:37Z,,fuel
"729604930",2010-05-11T09:37:53Z,,fuel
"729604934",2010-05-11T09:37:53Z,,fuel
"729604936",2013-08-30T03:06:28Z,,fuel
"729604937",2010-05-11T09:37:53Z,,fuel
"729604939",2010-05-19T03:38:36Z,,fuel
"729604940",2010-05-11T09:37:53Z,,fuel
"729604942",2010-05-11T09:37:53Z,,fuel
"729604943",2010-05-17T06:59:42Z,,fuel
"729604947",2010-05-11T09:37:54Z,,fuel
"729604948",2010-05-11T09:37:54Z,,fuel
"729604949",2010-05-11T09:37:54Z,,fuel
"729604950",2012-10-30T17:13:37Z,,fuel
"729604953",2014-01-07T05:46:53Z,,fuel
"729604956",2010-05-11T09:37:54Z,,fuel
"729604959",2010-05-11T09:37:54Z,,fuel
"729604960",2010-05-11T09:37:54Z,,fuel
"729604961",2013-08-11T08:36:52Z,,fuel
"729604962",2010-05-11T09:37:54Z,,fuel
"729604964",2010-05-11T09:37:54Z,,fuel
"729604965",2010-05-11T09:37:54Z,,fuel
"729604966",2010-05-11T09:37:55Z,,fuel
"729604967",2010-05-11T09:37:55Z,,fuel
"729604969",2013-12-28T18:13:30Z,Total,fuel
"729604970",2013-08-30T03:06:28Z,,fuel
"729604971",2010-05-11T09:37:55Z,,fuel
"729604972",2010-05-11T09:37:55Z,,fuel
"729604974",2010-05-11T09:37:55Z,,fuel
"729604977",2013-02-16T18:10:30Z,,fuel
"729604978",2010-05-15T08:56:17Z,,fuel
"729604979",2010-05-11T09:37:55Z,,fuel
"729604980",2010-05-11T09:37:55Z,,fuel
"729604981",2010-05-11T09:37:55Z,,fuel
"729604983",2010-05-17T06:59:51Z,,fuel
"729604984",2013-12-17T03:15:26Z,,fuel
"729604986",2010-05-11T09:37:55Z,,fuel
"729604988",2010-05-17T08:43:02Z,,fuel
"729604989",2014-01-08T05:54:00Z,Total,fuel
"729604990",2010-05-11T09:37:55Z,,fuel
"729604994",2010-05-19T03:41:29Z,,fuel
"729604997",2010-05-11T09:37:56Z,,fuel
"729604998",2010-05-11T09:37:56Z,,fuel
"729605000",2010-05-11T09:37:56Z,,fuel
"729605001",2013-09-30T06:42:38Z,,fuel
"729605003",2010-05-11T09:37:56Z,,fuel
"729605005",2010-05-22T17:36:32Z,,fuel
"729605007",2013-04-16T04:56:49Z,,fuel
"729605008",2010-05-11T09:37:56Z,,fuel
"729605009",2010-05-11T09:37:56Z,,fuel
"729605011",2010-05-15T08:56:25Z,,fuel
"729605012",2010-05-11T09:37:57Z,,fuel
"729605014",2010-05-11T09:37:57Z,,fuel
"729605015",2010-05-11T09:37:57Z,,fuel
"729605016",2010-05-11T09:37:57Z,,fuel
"729605017",2010-05-11T09:37:57Z,,fuel
"729605018",2010-05-11T09:37:57Z,,fuel
"729605019",2010-10-07T16:17:42Z,Đại Lý Bán Lẻ Xăng Dầu - Cửa Hàng 7,fuel
"729605020",2010-05-11T09:37:57Z,,fuel
"729605021",2010-05-11T09:37:57Z,,fuel
"729605022",2010-05-11T09:37:57Z,,fuel
"729605023",2010-05-11T09:37:57Z,,fuel
"729605025",2010-05-11T09:37:57Z,,fuel
"729605026",2010-05-11T09:37:57Z,,fuel
"729605028",2010-05-11T09:37:57Z,,fuel
"729605030",2013-10-16T04:59:25Z,,fuel
"729605031",2012-05-17T15:42:53Z,,fuel
"729605032",2010-05-11T09:37:57Z,,fuel
"729605033",2010-05-11T09:37:58Z,,fuel
"729605034",2010-05-11T09:37:58Z,,fuel
"729605035",2010-05-11T09:37:58Z,,fuel
"729605037",2010-05-11T09:37:58Z,,fuel
"729605038",2010-05-11T09:37:58Z,,fuel
"729605043",2010-05-11T09:37:58Z,,fuel
"729605045",2010-05-11T09:37:58Z,,fuel
"729605046",2013-08-10T09:16:51Z,,fuel
"757608877",2012-10-27T06:03:19Z,,fuel
"762947308",2010-06-03T03:29:12Z,Petrolimex,fuel
"1001114450",2011-11-10T13:41:42Z,Bạch Đằng,fuel
"1001114523",2010-11-23T17:34:30Z,,fuel
"1271240349",2011-05-03T16:24:59Z,,fuel
"1274090669",2011-05-06T08:30:41Z,,fuel
"1274090743",2011-05-06T08:30:43Z,,fuel
"1393358703",2011-08-10T06:45:42Z,,fuel
"1657475085",2012-11-05T05:29:42Z,CHXD số 18,fuel
"1779408033",2012-10-28T18:07:50Z,,fuel
"1969358658",2012-10-17T04:39:23Z,Petrolimex,fuel
"1969579542",2012-10-17T09:43:29Z,CHXD số 1,fuel
"1998235338",2012-11-05T05:29:34Z,CHXD số 27,fuel
"2019442919",2014-07-02T05:34:29Z,Hiệp Phú 2,fuel
"2019444704",2012-11-18T09:16:59Z,CHXD Đông hoà,fuel
"2028465909",2012-11-23T17:36:06Z,Comeco,fuel
"2240574800",2013-04-01T03:04:55Z,,fuel
"2326576314",2013-05-31T03:49:29Z,,fuel
"2341631803",2014-01-07T09:53:51Z,,fuel
"2431811402",2013-08-26T04:49:42Z,SaiGon Petro,fuel
"2445385461",2013-09-04T07:00:16Z,,fuel
"2499049295",2013-10-17T05:52:05Z,,fuel
"2942880407",2014-07-02T04:10:21Z,,fuel
"2946995053",2014-07-04T04:55:42Z,Bến xe buýt ĐH Nông Lâm,fuel
"2955868226",2014-07-09T15:09:22Z,CHXD Hoàng Nguyên,fuel
